detect_date,type,market,code,name,board_date,purpose_text,detail
2026-08-28,changed,otc,4114,健喬,115/06/26,轉讓股份予員工,"done:N->Y; bought_shares:-->2,935,000; bought_ratio_pct:-->97.83; bought_amount:-->87,948,817; note:-->為維護整體股東權益，本公司視股價變化採分批買回策略，故未能執行完畢。"
2026-08-31,new,sii,5546,永固-KY,115/08/24,維護公司信用及股東權益並辦理註銷,"預定1,000,000股 115/08/24~115/10/23"
2026-08-31,removed,sii,5546,永固-KY,115/08/24,維護公司信用及股東權益並辦理註銷,本案從 MOPS 表中消失
2026-09-01,new,sii,5546,永固-KY,115/08/24,維護公司信用及股東權益並辦理註銷,"預定1,000,000股 115/08/25~115/10/23"
2026-09-01,removed,sii,5546,永固-KY,115/08/24,維護公司信用及股東權益並辦理註銷,本案從 MOPS 表中消失
2026-09-02,new,otc,8171,天宇,115/08/13,轉讓股份予員工,"預定2,000,000股 115/08/14~115/10/12"
2026-09-02,changed,sii,1432,大魯閣,115/07/03,轉讓股份予員工,"done:N->Y; bought_shares:-->165,000; bought_ratio_pct:-->8.25; bought_amount:-->2,482,350"
2026-09-03,new,sii,6655,科定,115/09/03,維護公司信用及股東權益並辦理註銷,"預定400,000股 115/09/04~115/11/03"
2026-09-03,removed,otc,5371,中光電,92/08/28,轉讓股份予員工,本案從 MOPS 表中消失
2026-09-03,removed,otc,5371,中光電,92/10/29,轉讓股份予員工,本案從 MOPS 表中消失
2026-09-03,removed,otc,5371,中光電,97/02/18,轉讓股份予員工,本案從 MOPS 表中消失
2026-09-03,removed,otc,5371,中光電,97/06/13,轉讓股份予員工,本案從 MOPS 表中消失
2026-09-03,removed,otc,5371,中光電,98/04/17,轉讓股份予員工,本案從 MOPS 表中消失
2026-09-03,removed,otc,5371,中光電,100/07/14,轉讓股份予員工,本案從 MOPS 表中消失
2026-09-03,removed,otc,5371,中光電,110/02/08,維護公司信用及股東權益並辦理註銷,本案從 MOPS 表中消失
2026-09-07,new,otc,6620,漢達,115/09/07,維護公司信用及股東權益並辦理註銷,"預定3,000,000股 115/09/08~115/11/07"
2026-09-07,changed,sii,2388,威盛,115/07/08,維護公司信用及股東權益並辦理註銷,"done:N->Y; bought_shares:-->20,000,000; bought_ratio_pct:-->100.00; bought_amount:-->1,494,758,388"
2026-09-07,changed,otc,6180,橘子,115/07/08,轉讓股份予員工,"done:N->Y; bought_shares:-->2,000,000; bought_ratio_pct:-->100.00; bought_amount:-->84,459,596"
